Region,Satellite,Image Type,Date,Cloud Cover,Product ID,Bands,Values,Processing,basename,metadata_path,image_path
Crosson_Front,SENTINEL2,RAW (unprocessed),2021-12-01,4.67256%,S2B_MSIL2A_20211201T154309_N0301_R125_T12CWC_20211201T191313,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Crosson_Front_2021-12-01_S2_RAW,../data/raw/raw_images/metadata/Crosson_Front_2021-12-01_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Crosson_Front_2021-12-01_S2_RAW.tif
Thwaites_East,SENTINEL2,RAW (unprocessed),2019-11-06,36.739585%,S2B_MSIL2A_20191106T152309_N0213_R039_T13CDS_20191106T184847,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Thwaites_East_2019-11-06_S2_RAW,../data/raw/raw_images/metadata/Thwaites_East_2019-11-06_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Thwaites_East_2019-11-06_S2_RAW.tif
Wilkins_North,SENTINEL2,RAW (unprocessed),2020-12-23,54.009307%,S2B_MSIL2A_20201223T134959_N0214_R081_T18DWH_20201223T173152,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Wilkins_North_2020-12-23_S2_RAW,../data/raw/raw_images/metadata/Wilkins_North_2020-12-23_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Wilkins_North_2020-12-23_S2_RAW.tif
Ross_East_Front,SENTINEL2,RAW (unprocessed),2018-12-21,50.738356%,S2B_MSIL2A_20181221T184459_N0211_R041_T01CEP_20181221T220600,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Ross_East_Front_2018-12-21_S2_RAW,../data/raw/raw_images/metadata/Ross_East_Front_2018-12-21_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Ross_East_Front_2018-12-21_S2_RAW.tif
Fimbul_Front,SENTINEL2,RAW (unprocessed),2018-12-17,0.212524%,S2B_MSIL2A_20181217T085949_N0211_R121_T30DWG_20181217T123530,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Fimbul_Front_2018-12-17_S2_RAW,../data/raw/raw_images/metadata/Fimbul_Front_2018-12-17_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Fimbul_Front_2018-12-17_S2_RAW.tif
Ronne_North,SENTINEL2,RAW (unprocessed),2018-12-28,27.779729%,S2B_MSIL2A_20181228T115259_N0211_R137_T20CNT_20181228T133733,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Ronne_North_2018-12-28_S2_RAW,../data/raw/raw_images/metadata/Ronne_North_2018-12-28_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Ronne_North_2018-12-28_S2_RAW.tif
Ross_North_West,SENTINEL2,RAW (unprocessed),2022-11-14,64.524645%,S2B_MSIL2A_20221114T200529_N0400_R099_T59CNQ_20221114T213552,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Ross_North_West_2022-11-14_S2_RAW,../data/raw/raw_images/metadata/Ross_North_West_2022-11-14_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Ross_North_West_2022-11-14_S2_RAW.tif
Pine_Island_East,SENTINEL2,RAW (unprocessed),2020-11-07,62.771681%,S2B_MSIL2A_20201107T151259_N0214_R139_T14CMB_20201107T184450,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Pine_Island_East_2020-11-07_S2_RAW,../data/raw/raw_images/metadata/Pine_Island_East_2020-11-07_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Pine_Island_East_2020-11-07_S2_RAW.tif
Larsen_B_Remnant,SENTINEL2,RAW (unprocessed),2022-11-21,68.503398%,S2B_MSIL2A_20221121T130859_N0400_R052_T21DVH_20221121T145439,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Larsen_B_Remnant_2022-11-21_S2_RAW,../data/raw/raw_images/metadata/Larsen_B_Remnant_2022-11-21_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Larsen_B_Remnant_2022-11-21_S2_RAW.tif
Dotson_Front,SENTINEL2,RAW (unprocessed),2022-11-12,57.741594%,S2B_MSIL2A_20221112T160339_N0400_R068_T12CVC_20221112T191848,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Dotson_Front_2022-11-12_S2_RAW,../data/raw/raw_images/metadata/Dotson_Front_2022-11-12_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Dotson_Front_2022-11-12_S2_RAW.tif
Pine_Island_Front,SENTINEL2,RAW (unprocessed),2021-11-05,72.40291%,S2B_MSIL2A_20211105T152309_N0301_R039_T14CMC_20211105T190438,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Pine_Island_Front_2021-11-05_S2_RAW,../data/raw/raw_images/metadata/Pine_Island_Front_2021-11-05_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Pine_Island_Front_2021-11-05_S2_RAW.tif
Dotson_Front,SENTINEL2,RAW (unprocessed),2019-11-11,2.920019%,S2B_MSIL2A_20191111T161339_N0213_R111_T12CVC_20191111T195210,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Dotson_Front_2019-11-11_S2_RAW,../data/raw/raw_images/metadata/Dotson_Front_2019-11-11_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Dotson_Front_2019-11-11_S2_RAW.tif
Wilkins_North,SENTINEL2,RAW (unprocessed),2024-11-19,11.697013%,S2B_MSIL2A_20241119T133939_N0511_R038_T18DWH_20241119T150904,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Wilkins_North_2024-11-19_S2_RAW,../data/raw/raw_images/metadata/Wilkins_North_2024-11-19_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Wilkins_North_2024-11-19_S2_RAW.tif
Wilkins_South,SENTINEL2,RAW (unprocessed),2021-11-18,10.887019%,S2B_MSIL2A_20211118T134959_N0301_R081_T18DWG_20211118T173431,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Wilkins_South_2021-11-18_S2_RAW,../data/raw/raw_images/metadata/Wilkins_South_2021-11-18_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Wilkins_South_2021-11-18_S2_RAW.tif
Larsen_C_North,SENTINEL2,RAW (unprocessed),2020-11-14,58.041486%,S2B_MSIL2A_20201114T131909_N0214_R095_T20DNL_20201114T150741,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Larsen_C_North_2020-11-14_S2_RAW,../data/raw/raw_images/metadata/Larsen_C_North_2020-11-14_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Larsen_C_North_2020-11-14_S2_RAW.tif
Thwaites_East,SENTINEL2,RAW (unprocessed),2018-03-07,79.520971%,S2B_MSIL2A_20180307T145249_N0500_R053_T13CDT_20230709T210400,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Thwaites_East_2018-03-07_S2_RAW,../data/raw/raw_images/metadata/Thwaites_East_2018-03-07_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Thwaites_East_2018-03-07_S2_RAW.tif
Pine_Island_East,SENTINEL2,RAW (unprocessed),2018-12-21,0.010537%,S2B_MSIL2A_20181221T152259_N0211_R039_T14CMC_20181221T202759,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Pine_Island_East_2018-12-21_S2_RAW,../data/raw/raw_images/metadata/Pine_Island_East_2018-12-21_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Pine_Island_East_2018-12-21_S2_RAW.tif
Totten_Shelf,SENTINEL2,RAW (unprocessed),2024-02-01,18.667805%,S2B_MSIL2A_20240201T011539_N0510_R002_T50DNM_20240201T024045,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Totten_Shelf_2024-02-01_S2_RAW,../data/raw/raw_images/metadata/Totten_Shelf_2024-02-01_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Totten_Shelf_2024-02-01_S2_RAW.tif
Mertz_Front,SENTINEL2,RAW (unprocessed),2019-11-03,11.804754%,S2B_MSIL2A_20191103T233519_N0213_R001_T54DXL_20191104T005949,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Mertz_Front_2019-11-03_S2_RAW,../data/raw/raw_images/metadata/Mertz_Front_2019-11-03_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Mertz_Front_2019-11-03_S2_RAW.tif
Dotson_Front,SENTINEL2,RAW (unprocessed),2024-01-06,68.47381%,S2B_MSIL2A_20240106T160329_N0510_R068_T12CVC_20240106T192403,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Dotson_Front_2024-01-06_S2_RAW,../data/raw/raw_images/metadata/Dotson_Front_2024-01-06_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Dotson_Front_2024-01-06_S2_RAW.tif
Wilkins_South,SENTINEL2,RAW (unprocessed),2024-11-15,68.207121%,S2B_MSIL2A_20241115T140139_N0511_R124_T18DWG_20241115T172317,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Wilkins_South_2024-11-15_S2_RAW,../data/raw/raw_images/metadata/Wilkins_South_2024-11-15_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Wilkins_South_2024-11-15_S2_RAW.tif
Shackleton_Front,SENTINEL2,RAW (unprocessed),2019-11-04,52.308925%,S2B_MSIL2A_20191104T025609_N0213_R003_T46DFN_20191104T071247,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Shackleton_Front_2019-11-04_S2_RAW,../data/raw/raw_images/metadata/Shackleton_Front_2019-11-04_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Shackleton_Front_2019-11-04_S2_RAW.tif
Ronne_North,SENTINEL2,RAW (unprocessed),2019-11-07,49.519062%,S2B_MSIL2A_20191107T113259_N0213_R051_T20CNT_20191107T130702,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Ronne_North_2019-11-07_S2_RAW,../data/raw/raw_images/metadata/Ronne_North_2019-11-07_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Ronne_North_2019-11-07_S2_RAW.tif
McMurdo_Sound,SENTINEL2,RAW (unprocessed),2022-11-02,24.05297%,S2B_MSIL2A_20221102T210529_N0400_R071_T58CDU_20221103T074900,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,McMurdo_Sound_2022-11-02_S2_RAW,../data/raw/raw_images/metadata/McMurdo_Sound_2022-11-02_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/McMurdo_Sound_2022-11-02_S2_RAW.tif
Wilkins_South,SENTINEL2,RAW (unprocessed),2023-11-12,37.505236%,S2B_MSIL2A_20231112T132929_N0509_R138_T18DWG_20231112T150904,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Wilkins_South_2023-11-12_S2_RAW,../data/raw/raw_images/metadata/Wilkins_South_2023-11-12_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Wilkins_South_2023-11-12_S2_RAW.tif
Shackleton_Front,SENTINEL2,RAW (unprocessed),2020-11-15,72.012925%,S2B_MSIL2A_20201115T024559_N0214_R103_T46DFN_20201115T042540,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Shackleton_Front_2020-11-15_S2_RAW,../data/raw/raw_images/metadata/Shackleton_Front_2020-11-15_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Shackleton_Front_2020-11-15_S2_RAW.tif
